wavelength,"(743, 898)","(745, 886)","(749, 881)","(755, 879)","(750, 877)","(746, 920)","(758, 915)","(743, 908)","(744, 931)","(747, 926)"
635.348,0.647097,0.677641,0.770652,0.696992,0.766094,0.663273,0.765948,0.636283,0.754884,0.667119
636.975,0.650678,0.6738,0.776123,0.696972,0.766541,0.678529,0.764307,0.636135,0.755825,0.671937
638.602,0.662264,0.683322,0.778844,0.703361,0.775071,0.681356,0.76011,0.643343,0.766029,0.675514
640.229,0.65321,0.678133,0.7823,0.694645,0.776637,0.676881,0.766759,0.643259,0.76356,0.667568
641.855,0.65504,0.686532,0.779393,0.69517,0.772477,0.665587,0.775068,0.647433,0.764335,0.666511
643.482,0.658671,0.687278,0.784629,0.709162,0.777435,0.680722,0.773398,0.656672,0.764114,0.666835
645.109,0.664904,0.687506,0.788925,0.70714,0.771118,0.694656,0.77671,0.652492,0.773522,0.673044
646.736,0.678829,0.685013,0.791101,0.70857,0.7737,0.688929,0.77909,0.644026,0.771371,0.659924
648.362,0.656181,0.696879,0.794146,0.702967,0.783422,0.693971,0.786231,0.656038,0.765754,0.670893
649.989,0.66503,0.697272,0.794121,0.708264,0.774394,0.698828,0.78474,0.662022,0.775609,0.683265
651.616,0.665258,0.694236,0.78509,0.712506,0.772215,0.685737,0.78063,0.656948,0.782905,0.676294
653.243,0.669461,0.704853,0.804368,0.702294,0.787557,0.683966,0.786836,0.658594,0.776722,0.679219
654.869,0.678994,0.696131,0.793708,0.724204,0.788894,0.690465,0.791255,0.666487,0.769451,0.691393
656.496,0.672053,0.704264,0.796627,0.717847,0.792106,0.697151,0.77411,0.666162,0.800734,0.693684
658.123,0.674557,0.703255,0.802598,0.719937,0.788699,0.694278,0.797831,0.660255,0.786382,0.692333
659.75,0.672373,0.704854,0.813292,0.719016,0.795726,0.709791,0.799658,0.66065,0.79436,0.682425
661.376,0.680594,0.697762,0.80666,0.723731,0.794961,0.695543,0.797954,0.680821,0.795571,0.678253
663.003,0.6808,0.712558,0.81712,0.729809,0.796242,0.699208,0.798899,0.677821,0.804448,0.694676
664.63,0.681724,0.716105,0.817446,0.714148,0.802031,0.69729,0.798492,0.682229,0.797156,0.685882
666.256,0.693005,0.706657,0.810326,0.727414,0.789666,0.704555,0.794419,0.679863,0.797248,0.688279
667.883,0.683732,0.727704,0.817526,0.722061,0.804341,0.709423,0.792944,0.683515,0.80848,0.689179
669.51,0.697224,0.720876,0.823319,0.73532,0.802272,0.709057,0.800474,0.676763,0.807769,0.702628
671.137,0.685696,0.72651,0.825513,0.73599,0.800525,0.716715,0.797938,0.687657,0.81252,0.705284
672.763,0.695652,0.720577,0.824029,0.744191,0.816249,0.722543,0.804917,0.68617,0.81025,0.709493
674.39,0.694879,0.732087,0.830684,0.745888,0.819984,0.704083,0.809588,0.6914,0.818888,0.705844
676.017,0.706123,0.733845,0.828453,0.743956,0.799984,0.727264,0.806289,0.693381,0.828143,0.707366
677.644,0.698256,0.729163,0.826603,0.746974,0.823554,0.72498,0.803517,0.694045,0.819744,0.701513
679.27,0.697685,0.737282,0.830013,0.742951,0.810593,0.727444,0.808981,0.702701,0.826873,0.71388
680.897,0.714744,0.73588,0.831844,0.742256,0.816087,0.720555,0.835458,0.713614,0.839726,0.713753
682.524,0.714506,0.745877,0.836334,0.753486,0.829545,0.734498,0.824607,0.70721,0.826896,0.72074
684.151,0.707393,0.746474,0.836375,0.752574,0.825317,0.72794,0.821009,0.702845,0.831848,0.716176
685.777,0.726543,0.746857,0.837024,0.76176,0.822857,0.737597,0.835965,0.721335,0.843817,0.711857
687.404,0.725206,0.74818,0.838802,0.745184,0.816585,0.749382,0.831773,0.713275,0.850712,0.724788
689.031,0.70927,0.75818,0.847815,0.741017,0.820985,0.731649,0.830997,0.71746,0.836107,0.710267
690.658,0.718373,0.745214,0.843419,0.760094,0.842572,0.738887,0.837518,0.7122,0.850242,0.718201
692.284,0.718399,0.756554,0.84543,0.755977,0.829526,0.744353,0.827255,0.719622,0.852001,0.722178
693.911,0.715855,0.751606,0.852033,0.756042,0.844698,0.744199,0.84245,0.719624,0.847505,0.722866
695.538,0.715504,0.761223,0.854612,0.760004,0.840408,0.752621,0.8339,0.718327,0.85989,0.722166
697.165,0.728097,0.765922,0.861486,0.766225,0.836566,0.751819,0.840118,0.726664,0.850541,0.722094
698.791,0.735263,0.761678,0.844161,0.761588,0.837781,0.76099,0.84059,0.717478,0.85509,0.719329
700.418,0.736469,0.763567,0.860416,0.758753,0.84962,0.76098,0.851421,0.735269,0.863721,0.729981
